time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
333624,-0.04,-0.03,-1.0,2.33,-1.55,0.8,4.0,32.76,38.13,1
333636,-0.04,-0.03,-1.0,1.69,-1.56,0.78,4.0,32.76,38.13,1
333649,-0.04,-0.03,-1.0,0.69,-1.43,0.81,4.0,32.76,38.13,1
333660,-0.04,-0.03,-1.01,0.44,-1.44,0.75,4.03,32.74,38.12,1
333672,-0.04,-0.03,-1.01,0.37,-1.51,0.6,4.03,32.74,38.12,1
333683,-0.04,-0.03,-1.01,0.99,-1.37,0.08,4.03,32.74,38.12,1
333694,-0.04,-0.03,-1.0,1.31,-1.23,-0.07,4.03,32.74,38.12,1
333706,-0.04,-0.03,-1.0,1.55,-1.06,-0.12,4.03,32.74,38.12,1
333718,-0.04,-0.03,-1.0,2.42,-0.69,0.19,4.1,32.79,38.26,1
333729,-0.04,-0.03,-1.01,3.0,-0.54,0.28,4.1,32.79,38.26,1
333739,-0.04,-0.02,-1.01,3.67,-0.45,0.3,4.1,32.79,38.26,1
333750,-0.04,-0.03,-1.01,4.36,-0.27,0.26,4.1,32.79,38.26,1
333763,-0.04,-0.03,-1.01,5.26,0.24,0.13,4.05,32.77,38.42,1
333775,-0.05,-0.03,-1.02,5.39,0.31,0.06,4.05,32.77,38.42,1
333788,-0.05,-0.03,-1.02,4.65,-0.01,-0.07,4.05,32.77,38.42,1
333800,-0.05,-0.03,-1.02,4.09,-0.34,-0.08,4.05,32.77,38.42,1
333812,-0.04,-0.03,-1.02,3.11,-0.75,0.1,4.03,32.69,38.51,1
333823,-0.04,-0.04,-1.02,2.73,-0.77,0.31,4.03,32.69,38.51,1
333833,-0.04,-0.04,-1.02,2.68,-0.6,0.5,4.03,32.69,38.51,1
333844,-0.04,-0.04,-1.02,3.05,-0.32,0.66,4.03,32.69,38.51,1
333855,-0.05,-0.04,-1.02,4.14,0.38,1.02,4.03,32.69,38.51,1
333867,-0.05,-0.04,-1.02,4.5,0.61,1.22,4.18,32.72,38.56,1
333879,-0.05,-0.04,-1.02,4.65,0.77,1.38,4.18,32.72,38.56,1
333889,-0.05,-0.04,-1.02,4.85,0.94,1.91,4.18,32.72,38.56,1
333900,-0.05,-0.03,-1.02,4.99,0.85,2.22,4.18,32.72,38.56,1
333911,-0.05,-0.03,-1.02,5.21,0.64,2.45,4.1,32.74,38.48,1
333924,-0.05,-0.03,-1.02,5.37,0.12,2.8,4.1,32.74,38.48,1
333935,-0.05,-0.03,-1.02,5.07,-0.21,2.92,4.1,32.74,38.48,1
333946,-0.05,-0.02,-1.02,4.59,-0.63,2.99,4.1,32.74,38.48,1
333961,-0.05,-0.02,-1.02,3.83,-1.48,2.77,4.09,32.73,38.56,1
