time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,label
91097,0.05,0.02,0.97,0.43,-1.52,0.08,25.44,29.87,-29.91,0
91108,0.05,0.02,0.97,0.82,-1.49,0.32,25.44,29.87,-29.91,0
91120,0.05,0.02,0.97,1.0,-1.27,0.49,25.44,29.87,-29.91,0
91132,0.05,0.02,0.97,0.51,-0.64,0.66,25.43,29.78,-29.92,0
91143,0.05,0.02,0.97,0.18,-0.42,0.56,25.43,29.78,-29.92,0
91153,0.05,0.02,0.97,-0.13,-0.22,0.39,25.43,29.78,-29.92,0
91163,0.05,0.02,0.98,-0.39,0.01,0.25,25.43,29.78,-29.92,0
91173,0.06,0.02,0.98,-0.5,0.14,0.16,25.43,29.78,-29.92,0
91186,0.06,0.02,0.98,0.65,-0.38,0.05,25.38,29.81,-29.81,0
91197,0.06,0.02,0.98,1.31,-0.65,0.03,25.38,29.81,-29.81,0
91210,0.06,0.02,0.98,1.35,-0.43,-0.1,25.38,29.81,-29.81,0
91222,0.06,0.02,0.99,1.13,-0.36,-0.12,25.38,29.81,-29.81,0
91233,0.06,0.02,0.99,0.78,-0.47,-0.09,25.3,29.78,-30.02,0
91245,0.06,0.02,0.99,-0.07,-1.16,-0.03,25.3,29.78,-30.02,0
91257,0.06,0.02,0.98,-0.11,-1.58,-0.04,25.3,29.78,-30.02,0
91271,0.05,0.02,0.97,0.93,-1.77,-0.22,25.3,29.78,-30.02,0
91282,0.05,0.02,0.97,1.62,-1.51,-0.36,25.27,29.78,-30.2,0
91293,0.05,0.02,0.97,2.01,-1.21,-0.43,25.27,29.78,-30.2,0
91305,0.05,0.02,0.97,1.89,-0.93,-0.4,25.27,29.78,-30.2,0
91317,0.05,0.02,0.97,1.85,-0.84,-0.38,25.27,29.78,-30.2,0
91328,0.05,0.02,0.97,2.01,-0.62,-0.41,25.24,29.98,-30.27,0
91340,0.06,0.02,0.97,1.75,-0.36,-0.49,25.24,29.98,-30.27,0
91351,0.06,0.02,0.98,1.25,-0.59,-0.4,25.24,29.98,-30.27,0
91365,0.05,0.03,0.97,0.7,-1.02,-0.19,25.24,29.98,-30.27,0
91376,0.05,0.03,0.97,0.91,-0.8,-0.23,25.26,29.97,-30.1,0
